ID,school,creche,gender,asidlale,age_months,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,score14
58,Nobanda,Mdunge,M,0,54,2013,2,3,2,1,3,2,3,1,3,3,1,3,3,3,,,,,33
59,Nobanda,Nathu Creche,M,0,54,2013,2,3,3,3,3,3,3,1,3,1,1,3,3,1,,,,,33
60,Nobanda,uThando,M,0,61,2013,1,3,2,2,3,3,2,1,1,1,2,2,3,3,,,,,29
61,Mabane,Siyazama,F,1,56,2014,2,3,3,3,2,2,3,2,3,2,3,1,1,3,,,,,33
62,Mabane,Sbukosezwe,F,1,68,2014,3,3,3,3,3,3,2,2,3,3,3,3,1,3,,,,,38
63,Mabane,Sbukosezwe,F,1,59,2014,2,3,3,3,3,3,3,2,3,1,3,3,3,3,,,,,38
64,Mabane,Sbukosezwe,F,1,60,2014,3,3,3,3,1,3,3,2,3,1,3,3,3,3,,,,,37
65,Mabane,Nakekelo,F,1,53,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,42
66,Mabane,Sbukosezwe,F,1,58,2014,2,3,3,3,1,2,2,3,3,1,3,1,2,3,,,,,32
67,Mabane,Sbukosezwe,F,1,64,2014,3,3,3,3,2,2,3,2,3,2,3,3,2,3,,,,,37
68,Mabane,Sbukosezwe,F,1,61,2014,3,3,3,2,3,3,2,2,3,2,3,3,2,3,,,,,37
69,Mabane,Sbukosezwe,M,1,56,2014,3,3,3,1,3,1,3,3,3,1,3,2,2,3,,,,,34
70,Mabane,Sbukosezwe,M,1,59,2014,3,2,3,2,2,3,2,2,3,1,3,1,3,3,,,,,33
71,Mabane,Sbukosezwe,M,1,59,2014,1,3,3,2,3,2,3,2,3,1,3,3,2,3,,,,,34
72,Mabane,Nakekelo,M,1,52,2014,2,3,3,2,3,2,3,2,3,1,2,1,3,3,,,,,33
